"E-Field:0","E-Field:1","E-Field:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.0481e-10,0,1.4083e-10,1,0.11198,0.1854,-0.073418,0.01
5.0749e-10,0,1.4179e-10,1,0.11235,0.1854,-0.073048,0.01
5.1018e-10,0,1.4274e-10,1,0.11272,0.1854,-0.072677,0.01
5.1287e-10,0,1.4369e-10,1,0.11309,0.1854,-0.072306,0.01
5.1556e-10,0,1.4464e-10,1,0.11346,0.1854,-0.071935,0.01
5.1824e-10,0,1.4559e-10,1,0.11384,0.1854,-0.071564,0.01
5.2094e-10,0,1.4656e-10,1,0.11421,0.1854,-0.071194,0.01
5.2364e-10,0,1.4755e-10,1,0.11458,0.1854,-0.070823,0.01
5.2634e-10,0,1.4857e-10,1,0.11495,0.1854,-0.070452,0.01
5.2904e-10,0,1.4959e-10,1,0.11532,0.1854,-0.070081,0.01
5.3174e-10,0,1.506e-10,1,0.11569,0.1854,-0.06971,0.01
5.3444e-10,0,1.5162e-10,1,0.11606,0.1854,-0.06934,0.01
5.3715e-10,0,1.5264e-10,1,0.11643,0.1854,-0.068969,0.01
5.3985e-10,0,1.5366e-10,1,0.1168,0.1854,-0.068598,0.01
5.4255e-10,0,1.5468e-10,1,0.11717,0.1854,-0.068227,0.01
5.4525e-10,0,1.5569e-10,1,0.11754,0.1854,-0.067856,0.01
5.4795e-10,0,1.5671e-10,1,0.11791,0.1854,-0.067486,0.01
5.5065e-10,0,1.5773e-10,1,0.11829,0.1854,-0.067115,0.01
5.5336e-10,0,1.5875e-10,1,0.11866,0.1854,-0.066744,0.01
5.5606e-10,0,1.5976e-10,1,0.11903,0.1854,-0.066373,0.01
5.5876e-10,0,1.6078e-10,1,0.1194,0.1854,-0.066002,0.01
5.6146e-10,0,1.6182e-10,1,0.11977,0.1854,-0.065632,0.01
5.6415e-10,0,1.6287e-10,1,0.12014,0.1854,-0.065261,0.01
5.6683e-10,0,1.6394e-10,1,0.12051,0.1854,-0.06489,0.01
5.6951e-10,0,1.6501e-10,1,0.12088,0.1854,-0.064519,0.01
5.722e-10,0,1.6608e-10,1,0.12125,0.1854,-0.064148,0.01
5.7488e-10,0,1.6715e-10,1,0.12162,0.1854,-0.063778,0.01
5.7756e-10,0,1.6822e-10,1,0.12199,0.1854,-0.063407,0.01
5.8025e-10,0,1.6929e-10,1,0.12236,0.1854,-0.063036,0.01
5.829e-10,0,1.704e-10,1,0.12273,0.1854,-0.062665,0.01
5.8556e-10,0,1.715e-10,1,0.12311,0.1854,-0.062294,0.01
5.8822e-10,0,1.726e-10,1,0.12348,0.1854,-0.061924,0.01
5.9088e-10,0,1.7371e-10,1,0.12385,0.1854,-0.061553,0.01
5.9354e-10,0,1.7481e-10,1,0.12422,0.1854,-0.061182,0.01
5.962e-10,0,1.7592e-10,1,0.12459,0.1854,-0.060811,0.01
5.9886e-10,0,1.7702e-10,1,0.12496,0.1854,-0.06044,0.01
6.0151e-10,0,1.7812e-10,1,0.12533,0.1854,-0.06007,0.01
6.0416e-10,0,1.7924e-10,1,0.1257,0.1854,-0.059699,0.01
6.0676e-10,0,1.8039e-10,1,0.12607,0.1854,-0.059328,0.01
6.0936e-10,0,1.8154e-10,1,0.12644,0.1854,-0.058957,0.01
6.1196e-10,0,1.8269e-10,1,0.12681,0.1854,-0.058586,0.01
6.1457e-10,0,1.8385e-10,1,0.12718,0.1854,-0.058216,0.01
