"E-Field:0","E-Field:1","E-Field:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.233e-10,3.252e-19,4.3504e-10,1,0.034855,0.1854,-0.15054,0.01
1.2316e-10,3.2674e-19,4.3483e-10,1,0.035226,0.1854,-0.15017,0.01
1.2302e-10,3.2828e-19,4.3463e-10,1,0.035597,0.1854,-0.1498,0.01
1.2289e-10,3.2983e-19,4.3444e-10,1,0.035968,0.1854,-0.14943,0.01
1.2278e-10,3.3148e-19,4.3442e-10,1,0.036338,0.1854,-0.14906,0.01
1.2266e-10,3.3312e-19,4.3439e-10,1,0.036709,0.1854,-0.14869,0.01
1.2255e-10,3.3476e-19,4.3436e-10,1,0.03708,0.1854,-0.14832,0.01
1.2244e-10,3.364e-19,4.3433e-10,1,0.037451,0.1854,-0.14795,0.01
1.2232e-10,3.3804e-19,4.3431e-10,1,0.037822,0.1854,-0.14758,0.01
1.2221e-10,3.3968e-19,4.3428e-10,1,0.038192,0.1854,-0.14721,0.01
1.221e-10,3.4132e-19,4.3425e-10,1,0.038563,0.1854,-0.14684,0.01
1.2199e-10,3.4296e-19,4.3423e-10,1,0.038934,0.1854,-0.14647,0.01
1.2187e-10,3.446e-19,4.342e-10,1,0.039305,0.1854,-0.1461,0.01
1.2176e-10,3.4624e-19,4.3417e-10,1,0.039676,0.1854,-0.14572,0.01
1.2165e-10,3.4789e-19,4.3415e-10,1,0.040046,0.1854,-0.14535,0.01
1.2153e-10,3.4953e-19,4.3413e-10,1,0.040417,0.1854,-0.14498,0.01
1.2145e-10,3.5126e-19,4.3428e-10,1,0.040788,0.1854,-0.14461,0.01
1.2136e-10,3.5298e-19,4.3443e-10,1,0.041159,0.1854,-0.14424,0.01
1.2127e-10,3.5471e-19,4.3458e-10,1,0.04153,0.1854,-0.14387,0.01
1.2119e-10,3.5643e-19,4.3474e-10,1,0.0419,0.1854,-0.1435,0.01
1.211e-10,3.5816e-19,4.3489e-10,1,0.042271,0.1854,-0.14313,0.01
1.2101e-10,3.5988e-19,4.3504e-10,1,0.042642,0.1854,-0.14276,0.01
1.2093e-10,3.6161e-19,4.3519e-10,1,0.043013,0.1854,-0.14239,0.01
1.2084e-10,3.6334e-19,4.3534e-10,1,0.043384,0.1854,-0.14202,0.01
1.2075e-10,3.6506e-19,4.355e-10,1,0.043754,0.1854,-0.14165,0.01
1.2067e-10,3.6679e-19,4.3565e-10,1,0.044125,0.1854,-0.14127,0.01
1.206e-10,3.6859e-19,4.3595e-10,1,0.044496,0.1854,-0.1409,0.01
1.2055e-10,3.7041e-19,4.3628e-10,1,0.044867,0.1854,-0.14053,0.01
1.2049e-10,3.7223e-19,4.3662e-10,1,0.045238,0.1854,-0.14016,0.01
1.2043e-10,3.7405e-19,4.3696e-10,1,0.045608,0.1854,-0.13979,0.01
1.2037e-10,3.7588e-19,4.3729e-10,1,0.045979,0.1854,-0.13942,0.01
1.2032e-10,3.777e-19,4.3763e-10,1,0.04635,0.1854,-0.13905,0.01
1.2026e-10,3.7952e-19,4.3797e-10,1,0.046721,0.1854,-0.13868,0.01
1.202e-10,3.8134e-19,4.383e-10,1,0.047092,0.1854,-0.13831,0.01
1.2014e-10,3.8316e-19,4.3864e-10,1,0.047462,0.1854,-0.13794,0.01
1.2009e-10,3.8498e-19,4.3897e-10,1,0.047833,0.1854,-0.13757,0.01
1.2004e-10,3.8684e-19,4.3938e-10,1,0.048204,0.1854,-0.1372,0.01
1.2001e-10,3.8873e-19,4.3984e-10,1,0.048575,0.1854,-0.13683,0.01
1.1997e-10,3.9062e-19,4.403e-10,1,0.048946,0.1854,-0.13645,0.01
1.1994e-10,3.9254e-19,4.4081e-10,1,0.049316,0.1854,-0.13608,0.01
1.1992e-10,3.9446e-19,4.4133e-10,1,0.049687,0.1854,-0.13571,0.01
1.1989e-10,3.9639e-19,4.4185e-10,1,0.050058,0.1854,-0.13534,0.01
1.1987e-10,3.9835e-19,4.4243e-10,1,0.050429,0.1854,-0.13497,0.01
1.1986e-10,4.0031e-19,4.43e-10,1,0.0508,0.1854,-0.1346,0.01
1.1984e-10,4.0229e-19,4.436e-10,1,0.05117,0.1854,-0.13423,0.01
1.1984e-10,4.0429e-19,4.4424e-10,1,0.051541,0.1854,-0.13386,0.01
1.1983e-10,4.0629e-19,4.4487e-10,1,0.051912,0.1854,-0.13349,0.01
1.1985e-10,4.0839e-19,4.4564e-10,1,0.052283,0.1854,-0.13312,0.01
1.1988e-10,4.1052e-19,4.4645e-10,1,0.052654,0.1854,-0.13275,0.01
1.199e-10,4.1266e-19,4.4726e-10,1,0.053024,0.1854,-0.13238,0.01
1.1993e-10,4.1479e-19,4.4807e-10,1,0.053395,0.1854,-0.132,0.01
1.1996e-10,4.1692e-19,4.4888e-10,1,0.053766,0.1854,-0.13163,0.01
1.1998e-10,4.1905e-19,4.4969e-10,1,0.054137,0.1854,-0.13126,0.01
1.2001e-10,4.2118e-19,4.505e-10,1,0.054508,0.1854,-0.13089,0.01
1.2003e-10,4.2331e-19,4.5131e-10,1,0.054878,0.1854,-0.13052,0.01
1.2006e-10,4.2545e-19,4.5212e-10,1,0.055249,0.1854,-0.13015,0.01
1.2009e-10,4.2758e-19,4.5293e-10,1,0.05562,0.1854,-0.12978,0.01
1.2011e-10,4.2971e-19,4.5374e-10,1,0.055991,0.1854,-0.12941,0.01
1.2014e-10,4.3184e-19,4.5455e-10,1,0.056362,0.1854,-0.12904,0.01
1.2016e-10,4.3397e-19,4.5536e-10,1,0.056732,0.1854,-0.12867,0.01
1.2023e-10,4.3627e-19,4.5638e-10,1,0.057103,0.1854,-0.1283,0.01
1.2031e-10,4.3867e-19,4.5751e-10,1,0.057474,0.1854,-0.12793,0.01
1.204e-10,4.4107e-19,4.5863e-10,1,0.057845,0.1854,-0.12756,0.01
1.2049e-10,4.4346e-19,4.5976e-10,1,0.058216,0.1854,-0.12718,0.01
1.2057e-10,4.4586e-19,4.6089e-10,1,0.058586,0.1854,-0.12681,0.01
1.2066e-10,4.4826e-19,4.6202e-10,1,0.058957,0.1854,-0.12644,0.01
1.2074e-10,4.5065e-19,4.6315e-10,1,0.059328,0.1854,-0.12607,0.01
1.2083e-10,4.5305e-19,4.6428e-10,1,0.059699,0.1854,-0.1257,0.01
1.2092e-10,4.5544e-19,4.6541e-10,1,0.06007,0.1854,-0.12533,0.01
1.21e-10,4.5784e-19,4.6654e-10,1,0.06044,0.1854,-0.12496,0.01
1.2109e-10,4.6024e-19,4.6767e-10,1,0.060811,0.1854,-0.12459,0.01
1.2117e-10,4.6263e-19,4.688e-10,1,0.061182,0.1854,-0.12422,0.01
1.2126e-10,4.6503e-19,4.6993e-10,1,0.061553,0.1854,-0.12385,0.01
1.2138e-10,4.6761e-19,4.7124e-10,1,0.061924,0.1854,-0.12348,0.01
1.2153e-10,4.7037e-19,4.7272e-10,1,0.062294,0.1854,-0.12311,0.01
1.2169e-10,4.7313e-19,4.742e-10,1,0.062665,0.1854,-0.12273,0.01
1.2184e-10,4.7589e-19,4.7568e-10,1,0.063036,0.1854,-0.12236,0.01
1.2199e-10,4.7865e-19,4.7716e-10,1,0.063407,0.1854,-0.12199,0.01
1.2214e-10,4.814e-19,4.7864e-10,1,0.063778,0.1854,-0.12162,0.01
1.223e-10,4.8416e-19,4.8012e-10,1,0.064148,0.1854,-0.12125,0.01
1.2245e-10,4.8692e-19,4.816e-10,1,0.064519,0.1854,-0.12088,0.01
1.226e-10,4.8968e-19,4.8308e-10,1,0.06489,0.1854,-0.12051,0.01
1.2275e-10,4.9244e-19,4.8456e-10,1,0.065261,0.1854,-0.12014,0.01
1.2291e-10,4.9519e-19,4.8604e-10,1,0.065632,0.1854,-0.11977,0.01
1.2306e-10,4.9795e-19,4.8752e-10,1,0.066002,0.1854,-0.1194,0.01
1.2321e-10,5.0071e-19,4.89e-10,1,0.066373,0.1854,-0.11903,0.01
1.2339e-10,5.0361e-19,4.9061e-10,1,0.066744,0.1854,-0.11866,0.01
1.236e-10,5.0672e-19,4.924e-10,1,0.067115,0.1854,-0.11829,0.01
1.2381e-10,5.0982e-19,4.942e-10,1,0.067486,0.1854,-0.11791,0.01
1.2402e-10,5.1293e-19,4.96e-10,1,0.067856,0.1854,-0.11754,0.01
1.2423e-10,5.1604e-19,4.978e-10,1,0.068227,0.1854,-0.11717,0.01
1.2444e-10,5.1915e-19,4.9959e-10,1,0.068598,0.1854,-0.1168,0.01
1.2464e-10,5.2226e-19,5.0139e-10,1,0.068969,0.1854,-0.11643,0.01
1.2485e-10,5.2537e-19,5.0319e-10,1,0.06934,0.1854,-0.11606,0.01
1.2509e-10,5.2862e-19,5.0516e-10,1,0.06971,0.1854,-0.11569,0.01
1.2534e-10,5.3196e-19,5.0729e-10,1,0.070081,0.1854,-0.11532,0.01
1.2561e-10,5.3539e-19,5.0964e-10,1,0.070452,0.1854,-0.11495,0.01
1.2588e-10,5.3882e-19,5.1199e-10,1,0.070823,0.1854,-0.11458,0.01
1.2615e-10,5.4226e-19,5.1434e-10,1,0.071194,0.1854,-0.11421,0.01
1.2642e-10,5.4569e-19,5.1669e-10,1,0.071564,0.1854,-0.11384,0.01
1.2669e-10,5.4912e-19,5.1904e-10,1,0.071935,0.1854,-0.11346,0.01
1.2696e-10,5.5255e-19,5.2139e-10,1,0.072306,0.1854,-0.11309,0.01
1.2723e-10,5.5599e-19,5.2374e-10,1,0.072677,0.1854,-0.11272,0.01
1.275e-10,5.5942e-19,5.2609e-10,1,0.073048,0.1854,-0.11235,0.01
1.2777e-10,5.6285e-19,5.2844e-10,1,0.073418,0.1854,-0.11198,0.01
1.2807e-10,5.6637e-19,5.3181e-10,1,0.073789,0.1854,-0.11161,0.01
1.2838e-10,5.6993e-19,5.3572e-10,1,0.07416,0.1854,-0.11124,0.01
1.2869e-10,5.7349e-19,5.3962e-10,1,0.074531,0.1854,-0.11087,0.01
1.2901e-10,5.7705e-19,5.4352e-10,1,0.074902,0.1854,-0.1105,0.01
1.2936e-10,5.8049e-19,5.5215e-10,1,0.075272,0.1854,-0.11013,0.01
1.2971e-10,5.8392e-19,5.6129e-10,1,0.075643,0.1854,-0.10976,0.01
1.3006e-10,5.8735e-19,5.7043e-10,1,0.076014,0.1854,-0.10939,0.01
1.3041e-10,5.9078e-19,5.7956e-10,1,0.076385,0.1854,-0.10902,0.01
1.3077e-10,5.9421e-19,5.887e-10,1,0.076756,0.1854,-0.10864,0.01
